name,in_b,out_b,lut_b,m4_ns,m4_in,m4_out,m4_lut,c8i_ns,c8i_in,c8i_out,c8i_lut
merge,17,8,9,0.047,45.5,21.4,24.1,0.024,88.1,41.5,46.6
merge_two,1,8,0,0.018,7.0,56.3,0.0,0.010,12.8,102.2,0.0
merge_constant_left,9,8,9,0.041,27.4,24.3,27.4,0.014,82.2,73.0,82.2
merge_flat_d2,2,8,8,0.019,13.1,52.3,52.3,0.031,8.0,32.0,32.0
merge_flat_d3,3,8,8,0.042,9.0,24.0,24.0,0.030,12.6,33.5,33.5
merge_flat_d4,4,8,8,0.019,26.3,52.7,52.7,0.031,16.1,32.1,32.1
merge_flat_d5,5,8,8,0.039,16.0,25.6,25.6,0.036,17.2,27.5,27.5
merge_flat_d6,6,8,8,0.046,16.3,21.7,21.7,0.048,15.5,20.7,20.7
merge_flat_d7,7,8,8,0.074,11.9,13.6,13.6,0.064,13.6,15.5,15.5
merge_flat_d8,8,8,8,0.065,15.4,15.4,15.4,0.021,48.5,48.5,48.5
