host,dataset,method,enc_op,enc_pb,dec_op,dec_pb,ratio_op,ratio_pb,builds
m4,proba80,ph,1329,2902,15792,16724,6.29,6.32,8
m4,proba80,pha,1142,2128,5934,6103,8.45,8.51,8
m4,proba80,td_naive,390,473,1222,1220,6.35,6.39,8
m4,proba80,td_scl_opt,476,581,1534,1538,6.29,6.32,8
m4,proba80,td_nv_simd,387,468,3584,3840,6.35,6.39,8
m4,proba80,td_simdopt,1281,2703,6294,6245,6.29,6.32,8
m4,proba80,huf0,1307,na,2737,na,6.40,na,8
m4,proba80,fse_stk,640,875,664,684,8.86,8.86,8
m4,proba80,fse_x8y1,377,860,644,676,8.86,8.86,8
m4,proba80,oo_huff,1734,na,3171,na,6.40,na,8
m4,proba80,oo_tans,702,na,2512,na,8.84,na,8
m4,english,ph,1325,1906,6800,6570,1.86,1.87,8
m4,english,pha,1324,1899,6787,6871,1.86,1.87,8
m4,english,td_naive,64,65,475,474,1.87,1.88,8
m4,english,td_scl_opt,148,153,752,752,1.86,1.87,8
m4,english,td_nv_simd,64,65,2001,1989,1.87,1.88,8
m4,english,td_simdopt,1271,1936,2815,2884,1.86,1.87,8
m4,english,huf0,1746,na,2573,na,1.88,na,8
m4,english,fse_stk,735,861,848,838,1.89,1.89,8
m4,english,fse_x8y1,1060,1952,1895,2106,1.89,1.89,8
m4,english,oo_huff,2451,na,3305,na,1.88,na,8
m4,english,oo_tans,819,na,2481,na,1.89,na,8
m4,html_wiki,ph,1134,1605,4575,4939,1.41,1.40,8
m4,html_wiki,pha,1119,1581,4821,4775,1.41,1.40,8
m4,html_wiki,td_naive,48,50,359,358,1.40,1.40,8
m4,html_wiki,td_scl_opt,114,120,590,593,1.41,1.40,8
m4,html_wiki,td_nv_simd,49,50,1411,1482,1.40,1.40,8
m4,html_wiki,td_simdopt,1046,1635,2385,2329,1.41,1.40,8
m4,html_wiki,huf0,1768,na,2407,na,1.44,na,8
m4,html_wiki,fse_stk,737,855,845,855,1.45,1.46,8
m4,html_wiki,fse_x8y1,1210,1940,1941,2174,1.45,1.46,8
m4,html_wiki,oo_huff,2270,na,3153,na,1.44,na,8
m4,html_wiki,oo_tans,809,na,2436,na,1.45,na,8
m4,prose_pride,ph,1155,1638,4841,5148,1.72,1.72,8
m4,prose_pride,pha,1105,1524,5075,5056,1.72,1.72,8
m4,prose_pride,td_naive,59,60,440,437,1.73,1.72,8
m4,prose_pride,td_scl_opt,108,110,592,584,1.72,1.72,8
m4,prose_pride,td_nv_simd,59,60,1785,1761,1.73,1.72,8
m4,prose_pride,td_simdopt,1101,1626,2438,2413,1.72,1.72,8
m4,prose_pride,huf0,1760,na,2501,na,1.74,na,8
m4,prose_pride,fse_stk,736,853,836,851,1.76,1.76,8
m4,prose_pride,fse_x8y1,1069,1943,1927,2083,1.76,1.76,8
m4,prose_pride,oo_huff,2389,na,3162,na,1.75,na,8
m4,prose_pride,oo_tans,805,na,2456,na,1.76,na,8
m4,image_jpeg,ph,1256,1844,5364,5557,1.00,1.00,8
m4,image_jpeg,pha,1271,1806,5353,5353,1.00,1.00,8
m4,image_jpeg,td_naive,34,34,259,259,1.00,1.00,8
m4,image_jpeg,td_scl_opt,160,159,764,716,1.00,1.00,8
m4,image_jpeg,td_nv_simd,34,34,982,985,1.00,1.00,8
m4,image_jpeg,td_simdopt,1143,1897,2444,2343,1.00,1.00,8
m4,image_jpeg,huf0,1756,na,1415,na,1.01,na,8
m4,image_jpeg,fse_stk,749,897,824,849,1.01,1.01,8
m4,image_jpeg,fse_x8y1,1248,1938,1966,2197,1.01,1.01,8
m4,image_jpeg,oo_huff,2662,na,3140,na,1.01,na,8
m4,image_jpeg,oo_tans,811,na,2387,na,1.01,na,8
m4,json_api,ph,1117,1545,4338,4477,1.51,1.51,8
m4,json_api,pha,1087,1502,4319,4613,1.51,1.51,8
m4,json_api,td_naive,52,53,383,380,1.51,1.51,8
m4,json_api,td_scl_opt,106,110,569,574,1.51,1.51,8
m4,json_api,td_nv_simd,52,53,1657,1656,1.51,1.51,8
m4,json_api,td_simdopt,1082,1569,2397,2350,1.51,1.51,8
