host,compiler,distribution,decoder,throughput_gbs,bpc
m4,clang_latest,proba80,naive_simd,3.6631,1.2524
m4,clang_latest,proba80,simd_opt,6.4150,1.2651
m4,clang_latest,proba80,naive,1.2435,1.2524
m4,clang_latest,proba80,scalar_opt,1.6470,1.2651
m4,clang_latest,proba80,huf0_x2,2.8942,1.2514
m4,clang_latest,prose_pride,naive_simd,1.6962,4.6397
m4,clang_latest,prose_pride,simd_opt,2.3854,4.6562
m4,clang_latest,prose_pride,naive,0.4406,4.6397
m4,clang_latest,prose_pride,scalar_opt,0.5841,4.6562
m4,clang_latest,prose_pride,huf0_x2,2.5766,4.5831
test_c8i,clang_latest,proba80,naive_simd,2.4972,1.2524
test_c8i,clang_latest,proba80,simd_opt,6.9145,1.2602
test_c8i,clang_latest,proba80,naive,0.3431,1.2524
test_c8i,clang_latest,proba80,scalar_opt,0.7532,1.2651
test_c8i,clang_latest,proba80,huf0_x2,1.8283,1.2514
test_c8i,clang_latest,prose_pride,naive_simd,0.8140,4.6397
test_c8i,clang_latest,prose_pride,simd_opt,1.8572,4.6386
test_c8i,clang_latest,prose_pride,naive,0.0508,4.6397
test_c8i,clang_latest,prose_pride,scalar_opt,0.0689,4.6562
test_c8i,clang_latest,prose_pride,huf0_x2,1.6740,4.5831
