host,compiler,distribution,decoder,primitive,calls,elements,ticks,ns_per_elem,ns_per_call
m4,clang_latest,proba80,naive,p_partition,640000,1311456000,511101212,0.389724,798.602136
m4,clang_latest,proba80,naive,s1_scatter,765500,1048576000,254467358,0.242681,332.422504
m4,clang_latest,proba80,naive_simd,simd_partition,640000,1311456000,81244936,0.061951,126.946245
m4,clang_latest,proba80,naive_simd,simd_s1_scatter,765500,1048576000,128531407,0.122578,167.906534
m4,clang_latest,proba80,scalar_opt,p_partition,384000,260847000,102039102,0.391187,265.728989
m4,clang_latest,proba80,scalar_opt,p_half_right,128000,1048576000,395922511,0.377584,3093.169765
m4,clang_latest,proba80,scalar_opt,s1_scatter,384000,207986000,51844353,0.249271,135.012434
m4,clang_latest,proba80,scalar_opt,s2_scatter_both,128000,2033000,1003425,0.493573,7.839322
m4,clang_latest,proba80,simd_opt,simd_partition,384000,260847000,16358221,0.062712,42.599880
m4,clang_latest,proba80,simd_opt,simd_partition_root_half_right,128000,1048576000,51650697,0.049258,403.524351
m4,clang_latest,proba80,simd_opt,simd_s1_scatter,384000,207986000,27096098,0.130280,70.563329
m4,clang_latest,proba80,simd_opt,simd_s2_scatter_both,128000,2033000,410083,0.201715,3.203799
m4,clang_latest,prose_pride,naive,p_partition,10150500,4825964000,1951140132,0.404304,192.222649
m4,clang_latest,prose_pride,naive,s1_scatter,8893500,1048576000,290490919,0.277036,32.663550
m4,clang_latest,prose_pride,naive_simd,simd_partition,10150500,4825964000,328560058,0.068082,32.369118
m4,clang_latest,prose_pride,naive_simd,simd_s1_scatter,8893500,1048576000,175982472,0.167831,19.787924
m4,clang_latest,prose_pride,scalar_opt,p_partition,1792000,3125605500,1262816075,0.404026,704.702200
m4,clang_latest,prose_pride,scalar_opt,p_half_right,128000,277315000,112855481,0.406961,881.690613
m4,clang_latest,prose_pride,scalar_opt,s1_scatter,896000,208865000,58113502,0.278237,64.859347
m4,clang_latest,prose_pride,scalar_opt,s2_scatter_both,386500,193893000,62276163,0.321191,161.129804
m4,clang_latest,prose_pride,scalar_opt,sfx_scatter_flat,512000,470819500,186241784,0.395573,363.756442
m4,clang_latest,prose_pride,simd_opt,simd_partition,1664000,2077029500,136307685,0.065627,81.916342
m4,clang_latest,prose_pride,simd_opt,simd_partition_half_right,128000,277315000,13276915,0.047877,103.726742
m4,clang_latest,prose_pride,simd_opt,simd_partition_root,128000,1048576000,67184701,0.064073,524.884744
m4,clang_latest,prose_pride,simd_opt,simd_s1_scatter,896000,208865000,31901651,0.152739,35.604811
m4,clang_latest,prose_pride,simd_opt,simd_s2_scatter_both,386500,193893000,31723371,0.163614,82.079247
m4,clang_latest,prose_pride,simd_opt,simd_sfx_scatter_flat,512000,470819500,75564552,0.160497,147.588216
test_c8i,clang_latest,proba80,naive,p_partition,640000,1311456000,7448404820,2.103535,4310.459660
